地名,センター,プラスチック,ペットボトル,びん,かん,雑誌・雑紙,紙パック,段ボール,新聞,古着・古布,可燃ごみ,不燃ごみ,有害ごみ
富士見町,収集地区15,木,隔水20140108,隔金20140110,隔金20140117,隔月20140106,隔月20140106,隔月20140106,隔水20140108,隔金20140110,火 金,隔火20140114,隔火20140114
別所１丁目（1〜26番地）,収集地区19,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140108,隔月20140106,火 金,隔水20140115,隔水20140115
別所１丁目（27番地〜）,収集地区11,水,隔火20140107,隔木20140109,隔木20140116,隔金20140110,隔金20140110,隔金20140110,隔水20140108,隔木20140109,火 金,隔月20140113,隔月20140113
別所２丁目,収集地区11,水,隔火20140107,隔木20140109,隔木20140116,隔金20140110,隔金20140110,隔金20140110,隔水20140108,隔木20140109,火 金,隔月20140113,隔月20140113
堀之内,収集地区13,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140115,隔金20140117,月 木,隔火20140107,隔火20140107
堀之内２〜３丁目,収集地区15,木,隔水20140108,隔金20140110,隔金20140117,隔月20140106,隔月20140106,隔月20140106,隔水20140108,隔金20140110,火 金,隔火20140114,隔火20140114
本郷町,収集地区19,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140108,隔月20140106,火 金,隔水20140115,隔水20140115
本町,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
松が谷,収集地区19,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140108,隔月20140106,火 金,隔水20140115,隔水20140115
松木,収集地区13,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140115,隔金20140117,月 木,隔火20140107,隔火20140107
丸山町,収集地区18,金,隔木20140116,隔月20140113,隔月20140106,隔火20140114,隔火20140114,隔火20140114,隔水20140108,隔月20140113,火 金,隔水20140108,隔水20140108
三崎町,収集地区17,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140115,隔月20140106,月 木,隔水20140115,隔水20140115
みつい台１〜２丁目,収集地区6,火,隔月20140113,隔水20140115,隔水20140108,隔木20140116,隔木20140116,隔木20140116,隔水20140108,隔水20140115,火 金,隔金20140110,隔金20140110
緑町,収集地区3,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140108,隔火20140114,火 金,隔木20140109,隔木20140109
南浅川町,収集地区10,水,隔火20140114,隔木20140116,隔木20140109,隔金20140117,隔金20140117,隔金20140117,隔水20140108,隔木20140116,火 金,隔月20140106,隔月20140106
南大沢１〜3丁目,収集地区12,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140115,隔金20140117,月 木,隔火20140107,隔火20140107
南大沢4〜5丁目,収集地区1,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140115,隔火20140114,月 木,隔木20140109,隔木20140109
南新町,収集地区8,水,隔火20140114,隔木20140116,隔木20140109,隔金20140117,隔金20140117,隔金20140117,隔水20140115,隔木20140116,月 木,隔月20140106,隔月20140106
みなみ野１〜６丁目,収集地区4,火,隔月20140113,隔水20140115,隔水20140108,隔木20140116,隔木20140116,隔木20140116,隔水20140115,隔水20140115,月 木,隔金20140110,隔金20140110
南町,収集地区16,金,隔木20140116,隔月20140113,隔月20140106,隔火20140114,隔火20140114,隔火20140114,隔水20140115,隔月20140113,月 木,隔水20140108,隔水20140108
宮下町,収集地区7,火,隔月20140106,隔水20140108,隔水20140115,隔木20140109,隔木20140109,隔木20140109,隔水20140108,隔水20140108,火 金,隔金20140117,隔金20140117
美山町,収集地区1,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140115,隔火20140114,月 木,隔木20140109,隔木20140109
明神町１〜４丁目,収集地区16,金,隔木20140116,隔月20140113,隔月20140106,隔火20140114,隔火20140114,隔火20140114,隔水20140115,隔月20140113,月 木,隔水20140108,隔水20140108
めじろ台１〜４丁目,収集地区3,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140108,隔火20140114,火 金,隔木20140109,隔木20140109
元八王子町１〜３丁目,収集地区13,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140115,隔金20140117,月 木,隔火20140107,隔火20140107
元本郷町１〜４丁目,収集地区19,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140108,隔月20140106,火 金,隔水20140115,隔水20140115
元横山町１〜３丁目,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
八木町,収集地区15,木,隔水20140108,隔金20140110,隔金20140117,隔月20140106,隔月20140106,隔月20140106,隔水20140108,隔金20140110,火 金,隔火20140114,隔火20140114
谷野町,収集地区6,火,隔月20140113,隔水20140115,隔水20140108,隔木20140116,隔木20140116,隔木20140116,隔水20140108,隔水20140115,火 金,隔金20140110,隔金20140110
山田町,収集地区3,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140108,隔火20140114,火 金,隔木20140109,隔木20140109
鑓水,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
鑓水２丁目,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
八日町,収集地区17,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140115,隔月20140106,月 木,隔水20140115,隔水20140115
横川町,収集地区1,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140115,隔火20140114,月 木,隔木20140109,隔木20140109
横山町,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
四谷町（八王子泉町住宅）,収集地区1,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140115,隔火20140114,月 木,隔木20140109,隔木20140109
四谷町（八王子泉町住宅を除く）,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
万町,収集地区17,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140115,隔月20140106,月 木,隔水20140115,隔水20140115
